Continente,Pais,Estado,Pais Migrante,Via,Ano,Mes,Chegadas
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Janeiro,0
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Fevereiro,0
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Marco,0
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Abril,0
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Maio,0
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Junho,0
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Julho,0
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Agosto,0
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Setembro,0
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Outubro,0
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Novembro,0
Africa,Africa do Sul,Acre,Brasil,Aerea,2019,Dezembro,0
Africa,Angola,Acre,Brasil,Aerea,2019,Janeiro,0
Africa,Angola,Acre,Brasil,Aerea,2019,Fevereiro,0
Africa,Angola,Acre,Brasil,Aerea,2019,Marco,0
Africa,Angola,Acre,Brasil,Aerea,2019,Abril,0
Africa,Angola,Acre,Brasil,Aerea,2019,Maio,0
Africa,Angola,Acre,Brasil,Aerea,2019,Junho,0
Africa,Angola,Acre,Brasil,Aerea,2019,Julho,0
Africa,Angola,Acre,Brasil,Aerea,2019,Agosto,0
Africa,Angola,Acre,Brasil,Aerea,2019,Setembro,0
Africa,Angola,Acre,Brasil,Aerea,2019,Outubro,0
Africa,Angola,Acre,Brasil,Aerea,2019,Novembro,0
Africa,Angola,Acre,Brasil,Aerea,2019,Dezembro,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Janeiro,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Fevereiro,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Marco,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Abril,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Maio,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Junho,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Julho,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Agosto,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Setembro,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Outubro,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Novembro,0
Africa,Cabo Verde,Acre,Brasil,Aerea,2019,Dezembro,0
Africa,Egito,Acre,Brasil,Aerea,2019,Janeiro,0
Africa,Egito,Acre,Brasil,Aerea,2019,Fevereiro,0
Africa,Egito,Acre,Brasil,Aerea,2019,Marco,0
Africa,Egito,Acre,Brasil,Aerea,2019,Abril,0
Africa,Egito,Acre,Brasil,Aerea,2019,Maio,0
Africa,Egito,Acre,Brasil,Aerea,2019,Junho,0
Africa,Egito,Acre,Brasil,Aerea,2019,Julho,0
Africa,Egito,Acre,Brasil,Aerea,2019,Agosto,0
Africa,Egito,Acre,Brasil,Aerea,2019,Setembro,0
Africa,Egito,Acre,Brasil,Aerea,2019,Outubro,0
Africa,Egito,Acre,Brasil,Aerea,2019,Novembro,0
Africa,Egito,Acre,Brasil,Aerea,2019,Dezembro,0
Africa,Gana,Acre,Brasil,Aerea,2019,Janeiro,0
Africa,Gana,Acre,Brasil,Aerea,2019,Fevereiro,0
Africa,Gana,Acre,Brasil,Aerea,2019,Marco,0
Africa,Gana,Acre,Brasil,Aerea,2019,Abril,0
Africa,Gana,Acre,Brasil,Aerea,2019,Maio,0
Africa,Gana,Acre,Brasil,Aerea,2019,Junho,0
Africa,Gana,Acre,Brasil,Aerea,2019,Julho,0
Africa,Gana,Acre,Brasil,Aerea,2019,Agosto,0
Africa,Gana,Acre,Brasil,Aerea,2019,Setembro,0
Africa,Gana,Acre,Brasil,Aerea,2019,Outubro,0
Africa,Gana,Acre,Brasil,Aerea,2019,Novembro,0
Africa,Gana,Acre,Brasil,Aerea,2019,Dezembro,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Janeiro,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Fevereiro,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Marco,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Abril,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Maio,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Junho,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Julho,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Agosto,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Setembro,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Outubro,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Novembro,0
Africa,Marrocos,Acre,Brasil,Aerea,2019,Dezembro,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Janeiro,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Fevereiro,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Marco,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Abril,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Maio,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Junho,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Julho,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Agosto,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Setembro,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Outubro,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Novembro,0
Africa,Mocambique,Acre,Brasil,Aerea,2019,Dezembro,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Janeiro,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Fevereiro,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Marco,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Abril,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Maio,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Junho,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Julho,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Agosto,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Setembro,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Outubro,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Novembro,0
Africa,Nigeria,Acre,Brasil,Aerea,2019,Dezembro,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Janeiro,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Fevereiro,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Marco,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Abril,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Maio,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Junho,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Julho,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Agosto,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Setembro,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Outubro,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Novembro,0
Africa,Outros paises,Acre,Brasil,Aerea,2019,Dezembro,0
Africa,Quenia,Acre,Brasil,Aerea,2019,Janeiro,0
Africa,Quenia,Acre,Brasil,Aerea,2019,Fevereiro,0
Africa,Quenia,Acre,Brasil,Aerea,2019,Marco,0
