Continente,Pais,Estado,Pais Migrante,Via,Ano,Mes,Chegadas
África,África do Sul,Acre,Brasil,Fluvial,2018,Janeiro,0
África,África do Sul,Acre,Brasil,Fluvial,2018,Fevereiro,0
África,África do Sul,Acre,Brasil,Fluvial,2018,Março,0
África,África do Sul,Acre,Brasil,Fluvial,2018,Abril,0
África,África do Sul,Acre,Brasil,Fluvial,2018,Maio,0
África,África do Sul,Acre,Brasil,Fluvial,2018,Junho,0
África,África do Sul,Acre,Brasil,Fluvial,2018,Julho,0
África,África do Sul,Acre,Brasil,Fluvial,2018,Agosto,0
África,África do Sul,Acre,Brasil,Fluvial,2018,Setembro,0
África,África do Sul,Acre,Brasil,Fluvial,2018,Outubro,0
África,África do Sul,Acre,Brasil,Fluvial,2018,Novembro,0
África,África do Sul,Acre,Brasil,Fluvial,2018,Dezembro,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Janeiro,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Fevereiro,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Março,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Abril,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Maio,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Junho,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Julho,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Agosto,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Setembro,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Outubro,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Novembro,0
Europa,Alemanha,Acre,Brasil,Fluvial,2018,Dezembro,0
África,Angola,Acre,Brasil,Fluvial,2018,Janeiro,0
África,Angola,Acre,Brasil,Fluvial,2018,Fevereiro,0
África,Angola,Acre,Brasil,Fluvial,2018,Março,0
África,Angola,Acre,Brasil,Fluvial,2018,Abril,0
África,Angola,Acre,Brasil,Fluvial,2018,Maio,0
África,Angola,Acre,Brasil,Fluvial,2018,Junho,0
África,Angola,Acre,Brasil,Fluvial,2018,Julho,0
África,Angola,Acre,Brasil,Fluvial,2018,Agosto,0
África,Angola,Acre,Brasil,Fluvial,2018,Setembro,0
África,Angola,Acre,Brasil,Fluvial,2018,Outubro,0
África,Angola,Acre,Brasil,Fluvial,2018,Novembro,0
África,Angola,Acre,Brasil,Fluvial,2018,Dezembro,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Janeiro,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Fevereiro,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Março,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Abril,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Maio,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Junho,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Julho,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Agosto,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Setembro,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Outubro,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Novembro,0
Ásia,Arábia Saudita,Acre,Brasil,Fluvial,2018,Dezembro,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Janeiro,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Fevereiro,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Março,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Abril,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Maio,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Junho,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Julho,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Agosto,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Setembro,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Outubro,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Novembro,0
América do Sul,Argentina,Acre,Brasil,Fluvial,2018,Dezembro,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Janeiro,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Fevereiro,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Março,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Abril,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Maio,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Junho,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Julho,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Agosto,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Setembro,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Outubro,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Novembro,0
Oceania,Austrália,Acre,Brasil,Fluvial,2018,Dezembro,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Janeiro,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Fevereiro,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Março,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Abril,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Maio,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Junho,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Julho,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Agosto,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Setembro,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Outubro,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Novembro,0
Europa,Áustria,Acre,Brasil,Fluvial,2018,Dezembro,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Janeiro,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Fevereiro,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Março,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Abril,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Maio,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Junho,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Julho,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Agosto,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Setembro,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Outubro,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Novembro,0
Ásia,Bangladesh,Acre,Brasil,Fluvial,2018,Dezembro,0
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Janeiro,0
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Fevereiro,0
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Março,0
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Abril,0
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Maio,0
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Junho,1
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Julho,1
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Agosto,0
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Setembro,0
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Outubro,0
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Novembro,1
Europa,Bélgica,Acre,Brasil,Fluvial,2018,Dezembro,0
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Janeiro,0
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Fevereiro,0
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Março,0
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Abril,0
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Maio,0
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Junho,1
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Julho,1
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Agosto,0
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Setembro,0
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Outubro,0
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Novembro,0
América do Sul,Bolívia,Acre,Brasil,Fluvial,2018,Dezembro,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Janeiro,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Fevereiro,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Março,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Abril,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Maio,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Junho,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Julho,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Agosto,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Setembro,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Outubro,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Novembro,0
Europa,Bulgária,Acre,Brasil,Fluvial,2018,Dezembro,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Janeiro,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Fevereiro,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Março,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Abril,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Maio,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Junho,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Julho,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Agosto,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Setembro,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Outubro,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Novembro,0
África,Cabo Verde,Acre,Brasil,Fluvial,2018,Dezembro,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Janeiro,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Fevereiro,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Março,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Abril,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Maio,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Junho,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Julho,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Agosto,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Setembro,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Outubro,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Novembro,0
América do Norte,Canadá,Acre,Brasil,Fluvial,2018,Dezembro,0
América do Sul,Chile,Acre,Brasil,Fluvial,2018,Janeiro,0
América do Sul,Chile,Acre,Brasil,Fluvial,2018,Fevereiro,0
